category,sku,title,option,map,wholesale,profit,maxDiscount,maxDiscount%,newMinPrice,notes
Baseball L-Screens,BULLETL,Bullet L Screen,Padded,$499.95,$358.00,$141.95,$136.95,27.4%,$363.00,
Baseball L-Screens,BULLETL,Bullet L Screen,Wheeled,$499.95,$358.00,$141.95,$136.95,27.4%,$363.00,
Baseball L-Screens,BULLETL,Bullet L Screen,Padded w/wheels,$549.95,$390.00,$159.95,$154.95,28.2%,$395.00,
Baseball L-Screens,BULLETJRBB,Bullet L Screen JR,Standard,$349.95,$258.00,$91.95,$86.95,24.8%,$263.00,
Baseball L-Screens,BULLETJRBB,Bullet L Screen JR,Padded,$449.95,$321.00,$128.95,$123.95,27.5%,$326.00,
Baseball L-Screens,BULLETJRBB,Bullet L Screen JR,Wheeled,$449.95,$321.00,$128.95,$123.95,27.5%,$326.00,
Baseball L-Screens,BULLETJRBB,Bullet L Screen JR,Padded w/wheels,$499.95,$358.00,$141.95,$136.95,27.4%,$363.00,
Baseball L-Screens,BULLETFT,Bullet Front Toss,Standard,$399.95,$295.00,$104.95,$99.95,25.0%,$300.00,
Baseball L-Screens,BULLETFT,Bullet Front Toss,Padded,$499.95,$358.00,$141.95,$136.95,27.4%,$363.00,
Baseball L-Screens,BULLETFT,Bullet Front Toss,Wheeled,$499.95,$358.00,$141.95,$136.95,27.4%,$363.00,
Baseball L-Screens,BULLETFT,Bullet Front Toss,Padded w/wheels,$549.95,$390.00,$159.95,$154.95,28.2%,$395.00,
Baseball L-Screens,BULLETCOMBO,Bullet L Screen Combo,Standard,$449.95,$327.00,$122.95,$117.95,26.2%,$332.00,
Baseball L-Screens,BULLETCOMBO,Bullet L Screen Combo,Padded,$549.95,$390.00,$159.95,$154.95,28.2%,$395.00,
Baseball L-Screens,BULLETCOMBO,Bullet L Screen Combo,Wheeled,$549.95,$390.00,$159.95,$154.95,28.2%,$395.00,
Baseball L-Screens,BULLETCOMBO,Bullet L Screen Combo,Padded w/wheels,$599.95,$422.00,$177.95,$172.95,28.8%,$427.00,
Baseball L-Screens,BULLETCOP,Bullet L Screen Combo w/Overhead,Padded,$799.95,$532.00,$267.95,$262.95,32.9%,$537.00,
Baseball L-Screens,BULLETCOP,Bullet L Screen Combo w/Overhead,Wheeled,$799.95,$532.00,$267.95,$262.95,32.9%,$537.00,
Baseball L-Screens,BULLETCOP,Bullet L Screen Combo w/Overhead,Padded w/wheels,$849.95,$574.00,$275.95,$270.95,31.9%,$579.00,
Baseball L-Screens,BULLETLOP,Bullet L Screen Baseball w/Overhead,Standard,$599.95,$432.00,$167.95,$162.95,27.2%,$437.00,
Baseball L-Screens,BULLETLOP,Bullet L Screen Baseball w/Overhead,Padded,$699.95,$474.00,$225.95,$220.95,31.6%,$479.00,
Baseball L-Screens,BULLETLOP,Bullet L Screen Baseball w/Overhead,Wheeled,$699.95,$474.00,$225.95,$220.95,31.6%,$479.00,
Baseball L-Screens,BULLETLOP,Bullet L Screen Baseball w/Overhead,Padded w/wheels,$749.95,$532.00,$217.95,$212.95,28.4%,$537.00,
Baseball L-Screens,BULLETFP,Bullet Hole Fast Pitch,Standard,$449.95,$353.00,$96.95,$91.95,20.4%,$358.00,
Baseball L-Screens,BULLETFP,Bullet Hole Fast Pitch,Padded,$499.95,$400.00,$99.95,$94.95,19.0%,$405.00,
Baseball L-Screens,BULLETFP,Bullet Hole Fast Pitch,Wheeled,$499.95,$400.00,$99.95,$94.95,19.0%,$405.00,
Baseball L-Screens,BULLETFP,Bullet Hole Fast Pitch,Padded w/wheels,$599.95,$490.00,$109.95,$104.95,17.5%,$495.00,
Baseball L-Screens,BULLETFPOH,Bullet Fastpitch Overhead,Standard,$349.95,$258.00,$91.95,$86.95,24.8%,$263.00,
Baseball L-Screens,BULLETFPOH,Bullet Fastpitch Overhead,Padded,$449.95,$321.00,$128.95,$123.95,27.5%,$326.00,
Baseball L-Screens,BULLETFPOH,Bullet Fastpitch Overhead,Wheeled,$449.95,$321.00,$128.95,$123.95,27.5%,$326.00,
Baseball L-Screens,BULLETFPOH,Bullet Fastpitch Overhead,Padded w/wheels,$499.95,$358.00,$141.95,$136.95,27.4%,$363.00,
Baseball L-Screens,PROTECTIVE7X7,7x7 Protective Screen,Standard,$349.95,$258.00,$91.95,$86.95,24.8%,$263.00,
Baseball L-Screens,PROTECTIVE7X7,7x7 Protective Screen,Padded,$449.95,$321.00,$128.95,$123.95,27.5%,$326.00,
Baseball L-Screens,PROTECTIVE7X7,7x7 Protective Screen,Wheeled,$449.95,$321.00,$128.95,$123.95,27.5%,$326.00,
Baseball L-Screens,PROTECTIVE7X7,7x7 Protective Screen,Padded w/wheels,$499.95,$358.00,$141.95,$136.95,27.4%,$363.00,
Baseball L-Screens,SOCKNET7X7,7x7 Protective Screen w/ Sock Net,Standard,$399.95,$311.00,$88.95,$83.95,21.0%,$316.00,
Baseball L-Screens,SOCKNET7X7,7x7 Protective Screen w/ Sock Net,Padded,$499.95,$369.00,$130.95,$125.95,25.2%,$374.00,
Baseball L-Screens,SOCKNET7X7,7x7 Protective Screen w/ Sock Net,Wheeled,$499.95,$369.00,$130.95,$125.95,25.2%,$374.00,
Baseball L-Screens,SOCKNET7X7,7x7 Protective Screen w/ Sock Net,Padded w/wheels,$549.95,$406.00,$143.95,$138.95,25.3%,$411.00,
Baseball L-Screens,PROTECTIVE8X8,8x8 Protective Screen,Standard,$449.95,$367.00,$82.95,$77.95,17.3%,$372.00,
Baseball L-Screens,PROTECTIVE8X8,8x8 Protective Screen,Padded,$549.95,$421.00,$128.95,$123.95,22.5%,$426.00,
Baseball L-Screens,PROTECTIVE8X8,8x8 Protective Screen,Wheeled,$549.95,$421.00,$128.95,$123.95,22.5%,$426.00,
Baseball L-Screens,PROTECTIVE8X8,8x8 Protective Screen,Padded w/wheels,$599.95,$456.00,$143.95,$138.95,23.2%,$461.00,
Baseball L-Screens,PROTECTIVE10X10,10 x 10 Protective Screen,Standard,$549.95,$500.00,$49.95,$44.95,8.2%,$505.00,
Baseball L-Screens,PROTECTIVE10X10,10 x 10 Protective Screen,Padded,$649.95,$548.00,$101.95,$96.95,14.9%,$553.00,
Baseball L-Screens,PROTECTIVE10X10,10 x 10 Protective Screen,Wheeled,$649.95,$548.00,$101.95,$96.95,14.9%,$553.00,
Baseball L-Screens,PROTECTIVE10X10,10 x 10 Protective Screen,Padded w/wheels,$699.95,$590.00,$109.95,$104.95,15.0%,$595.00,
