category,sku,title,option,map,wholesale,shipping,profit,profitPct,10PD,15PD,notes
Baseball L-Screens,BULLETFT,Bullet Front Toss,Standard,$399.95,$295.00,$75.00,$104.95,26.2%,$64.95,$44.96,
Baseball L-Screens,BULLETFT,Bullet Front Toss,Padded,$499.95,$358.00,$75.00,$141.95,28.4%,$91.95,$66.96,
Baseball L-Screens,BULLETFT,Bullet Front Toss,Wheeled,$499.95,$358.00,$75.00,$141.95,28.4%,$91.95,$66.96,
Baseball L-Screens,BULLETFT,Bullet Front Toss,Padded w/wheels,$549.95,$390.00,$75.00,$159.95,29.1%,$104.96,$77.46,
Baseball L-Screens,BULLETCOMBO,Bullet L Screen Combo,Standard,$449.95,$327.00,$75.00,$122.95,27.3%,$77.95,$55.46,
Baseball L-Screens,BULLETCOMBO,Bullet L Screen Combo,Padded,$549.95,$390.00,$75.00,$159.95,29.1%,$104.96,$77.46,
Baseball L-Screens,BULLETCOMBO,Bullet L Screen Combo,Wheeled,$549.95,$390.00,$75.00,$159.95,29.1%,$104.96,$77.46,
Baseball L-Screens,BULLETCOMBO,Bullet L Screen Combo,Padded w/wheels,$599.95,$422.00,$75.00,$177.95,29.7%,$117.96,$87.96,
Baseball L-Screens,BULLETCOP,Bullet L Screen Combo w/Overhead,Padded,$799.95,$532.00,$125.00,$267.95,33.5%,$187.96,$147.96,
Baseball L-Screens,BULLETCOP,Bullet L Screen Combo w/Overhead,Wheeled,$799.95,$532.00,$125.00,$267.95,33.5%,$187.96,$147.96,
Baseball L-Screens,BULLETCOP,Bullet L Screen Combo w/Overhead,Padded w/wheels,$849.95,$574.00,$125.00,$275.95,32.5%,$190.96,$148.46,
Baseball L-Screens,BULLETLOP,Bullet L Screen Baseball w/Overhead,Standard,$599.95,$432.00,$125.00,$167.95,28.0%,$107.96,$77.96,
Baseball L-Screens,BULLETLOP,Bullet L Screen Baseball w/Overhead,Padded,$699.95,$474.00,$125.00,$225.95,32.3%,$155.96,$120.96,
Baseball L-Screens,BULLETLOP,Bullet L Screen Baseball w/Overhead,Wheeled,$699.95,$474.00,$125.00,$225.95,32.3%,$155.96,$120.96,
Baseball L-Screens,BULLETLOP,Bullet L Screen Baseball w/Overhead,Padded w/wheels,$749.95,$532.00,$125.00,$217.95,29.1%,$142.96,$105.46,
Baseball L-Screens,BULLETFP,Bullet Hole Fast Pitch,Standard,$449.95,$353.00,$75.00,$96.95,21.5%,$51.95,$29.46,
Baseball L-Screens,BULLETFP,Bullet Hole Fast Pitch,Padded,$499.95,$400.00,$75.00,$99.95,20.0%,$49.95,$24.96,
Baseball L-Screens,BULLETFP,Bullet Hole Fast Pitch,Wheeled,$499.95,$400.00,$75.00,$99.95,20.0%,$49.95,$24.96,
Baseball L-Screens,BULLETFP,Bullet Hole Fast Pitch,Padded w/wheels,$599.95,$490.00,$75.00,$109.95,18.3%,$49.96,$19.96,
Baseball L-Screens,BULLETFPOH,Bullet Fastpitch Overhead,Standard,$349.95,$258.00,$75.00,$91.95,26.3%,$56.95,$39.46,
Baseball L-Screens,BULLETFPOH,Bullet Fastpitch Overhead,Padded,$449.95,$321.00,$75.00,$128.95,28.7%,$83.95,$61.46,
Baseball L-Screens,BULLETFPOH,Bullet Fastpitch Overhead,Wheeled,$449.95,$321.00,$75.00,$128.95,28.7%,$83.95,$61.46,
Baseball L-Screens,BULLETFPOH,Bullet Fastpitch Overhead,Padded w/wheels,$499.95,$358.00,$75.00,$141.95,28.4%,$91.95,$66.96,
Baseball L-Screens,PROTECTIVE7X7,7x7 Protective Screen,Standard,$349.95,$258.00,$75.00,$91.95,26.3%,$56.95,$39.46,
Baseball L-Screens,PROTECTIVE7X7,7x7 Protective Screen,Padded,$449.95,$321.00,$75.00,$128.95,28.7%,$83.95,$61.46,
